year,rank,country,distance,region
1970,1,Sierra Leone,11.232666409278862,Sub-Saharan Africa
1970,2,Bolivia,12.228788475485523,Latin America & Caribbean
1970,3,Nepal,12.316804707588268,East Asia & Pacific
1970,4,Yemen,12.42773581443758,Middle East & N. Africa
1970,5,Afghanistan,12.571804725294982,East Asia & Pacific
1970,6,Indonesia,12.57341769724207,East Asia & Pacific
1970,7,Republic of the Congo,12.610968213506075,Sub-Saharan Africa
1970,8,Madagascar,12.667699302951172,Sub-Saharan Africa
1970,9,Republic of Vietnam,12.675007439870123,East Asia & Pacific
1970,10,Uganda,12.740504620964241,Sub-Saharan Africa
1979,1,Equatorial Guinea,16.32041669423107,Sub-Saharan Africa
1979,2,Somalia,16.51941411568249,Sub-Saharan Africa
1979,3,Eritrea,16.933051206723178,Sub-Saharan Africa
1979,4,Democratic Republic of the Congo,17.120814454457733,Sub-Saharan Africa
1979,5,Guinea,18.20307408615558,Sub-Saharan Africa
1979,6,Djibouti,18.37694204747749,Sub-Saharan Africa
1979,7,Yemen,18.379248046234707,Middle East & N. Africa
1979,8,Timor-Leste,18.398345055694154,East Asia & Pacific
1979,9,Burma/Myanmar,18.554299397097854,East Asia & Pacific
1979,10,Republic of the Congo,18.889396519588946,Sub-Saharan Africa
1987,1,Eritrea,14.008034747466478,Sub-Saharan Africa
1987,2,Republic of the Congo,14.021026182935534,Sub-Saharan Africa
1987,3,Somalia,14.255780666643746,Sub-Saharan Africa
1987,4,Democratic Republic of the Congo,14.48372196699899,Sub-Saharan Africa
1987,5,Timor-Leste,14.510833872594027,East Asia & Pacific
1987,6,Afghanistan,14.836838832751628,East Asia & Pacific
1987,7,Equatorial Guinea,14.854422285159096,Sub-Saharan Africa
1987,8,Djibouti,15.38611358099415,Sub-Saharan Africa
1987,9,Yemen,15.478714540981608,Middle East & N. Africa
1987,10,Guinea-Bissau,15.509016548646478,Sub-Saharan Africa
1997,1,Republic of the Congo,12.834698448214311,Sub-Saharan Africa
1997,2,Djibouti,13.011759753557849,Sub-Saharan Africa
1997,3,Sierra Leone,13.068971608521606,Sub-Saharan Africa
1997,4,Comoros,13.498042785576438,Sub-Saharan Africa
1997,5,Guatemala,13.736928722699929,Latin America & Caribbean
1997,6,Serbia,13.771094568929758,E. Europe & Central Asia
1997,7,Togo,13.790725163124504,Sub-Saharan Africa
1997,8,Bangladesh,13.796145072407404,East Asia & Pacific
1997,9,Kenya,13.799603768849881,Sub-Saharan Africa
1997,10,Peru,13.946464358057224,Latin America & Caribbean
2006,1,Djibouti,13.341071627528523,Sub-Saharan Africa
2006,2,Burundi,13.782572689172593,Sub-Saharan Africa
2006,3,Fiji,13.824016582777952,East Asia & Pacific
2006,4,Comoros,13.893108086286844,Sub-Saharan Africa
2006,5,Bangladesh,13.937200711677496,East Asia & Pacific
2006,6,Nicaragua,14.40827979212435,Latin America & Caribbean
2006,7,Uganda,14.41121297310079,Sub-Saharan Africa
2006,8,Ethiopia,14.426058217824083,Sub-Saharan Africa
2006,9,Republic of the Congo,14.526343294897456,Sub-Saharan Africa
2006,10,Guinea,14.614344681802168,Sub-Saharan Africa
