country_name,iso3,openness
Afghanistan,AFG,0.013966480446927373
Albania,ALB,0.49860335195530725
Algeria,DZA,0.2569832402234637
Angola,AGO,0.329608938547486
Argentina,ARG,0.5167597765363128
Armenia,ARM,0.5810055865921788
Australia,AUS,0.9860335195530726
Austria,AUT,0.8156424581005586
Azerbaijan,AZE,0.17039106145251398
Bahrain,BHR,0.16759776536312848
Bangladesh,BGD,0.4553072625698324
Barbados,BRB,0.7849162011173184
Belarus,BLR,0.43296089385474856
Belgium,BEL,0.7374301675977654
Benin,BEN,0.55027932960893855
Bhutan,BTN,0.8324022346368716
Bolivia,BOL,0.2737430167597765
Bosnia and Herzegovina,BIH,0.3128491620111732
Botswana,BWA,0.7625698324022346
Brazil,BRA,0.6005586592178771
Bulgaria,BGR,0.329608938547486
Burkina Faso,BFA,0.6843575418994413
Burma/Myanmar,MMR,0.0670391061452514
Burundi,BDI,0.09776536312849163
Cambodia,KHM,0.20391061452513964
Cameroon,CMR,0.09497206703910616
Canada,CAN,0.8128491620111732
Cape Verde,CPV,0.7402234636871508
Central African Republic,CAF,0.09217877094972067
Chad,TCD,0.0446927374301676
Chile,CHL,0.7346368715083799
China,CHN,0.5223463687150838
Colombia,COL,0.4245810055865922
Comoros,COM,0.23184357541899442
Costa Rica,CRI,0.8994413407821229
Croatia,HRV,0.5614525139664804
Cuba,CUB,0.24441340782122906
Cyprus,CYP,0.7402234636871508
Czechia,CZE,0.9413407821229051
Democratic Republic of the Congo,COD,0.04469273743016759
Denmark,DNK,0.9720670391061452
Djibouti,DJI,0.5195530726256983
Dominican Republic,DOM,0.3743016759776536
Ecuador,ECU,0.22625698324022347
Egypt,EGY,0.3016759776536313
El Salvador,SLV,0.2122905027932961
Equatorial Guinea,GNQ,0.2849162011173184
Eritrea,ERI,0.13966480446927373
Estonia,EST,0.9636871508379888
Eswatini,SWZ,0.1564245810055866
Ethiopia,ETH,0.31843575418994413
Fiji,FJI,0.6899441340782123
Finland,FIN,0.8659217877094972
France,FRA,0.8156424581005586
Gabon,GAB,0.5879888268156425
Georgia,GEO,0.5279329608938548
Germany,DEU,0.9692737430167597
Ghana,GHA,0.4162011173184358
Greece,GRC,0.729050279329609
Guatemala,GTM,0.36033519553072624
Guinea,GIN,0.29329608938547486
Guinea-Bissau,GNB,0.26256983240223464
Guyana,GUY,0.3687150837988827
Haiti,HTI,0.1229050279329609
Honduras,HND,0.4748603351955307
Hong Kong,HKG,0.388268156424581
Hungary,HUN,0.3016759776536313
Iceland,ISL,0.7569832402234636
India,IND,0.38268156424581007
Indonesia,IDN,0.3938547486033519
Iran,IRN,0.3044692737430168
Iraq,IRQ,0.2011173184357542
Ireland,IRL,0.73463687150838
Israel,ISR,0.776536312849162
Italy,ITA,0.6536312849162011
Ivory Coast,CIV,0.6536312849162011
Jamaica,JAM,0.8854748603351955
Japan,JPN,0.808659217877095
Jordan,JOR,0.61731843575419
Kazakhstan,KAZ,0.48044692737430167
Kenya,KEN,0.505586592178771
Kosovo,XKX,0.5391061452513967
Kuwait,KWT,0.49720670391061456
Kyrgyzstan,KGZ,0.5083798882681564
Laos,LAO,0.49022346368715086
Latvia,LVA,0.9050279329608939
Lebanon,LBN,0.15363128491620112
Lesotho,LSO,0.6899441340782123
Liberia,LBR,0.28212290502793297
Libya,LBY,0.26256983240223464
Lithuania,LTU,0.8212290502793296
Luxembourg,LUX,0.958100558659218
Madagascar,MDG,0.08379888268156424
Malawi,MWI,0.6340782122905028
Malaysia,MYS,0.329608938547486
Maldives,MDV,0.6759776536312849
Mali,MLI,0.5279329608938548
Malta,MLT,0.7988826815642458
Mauritania,MRT,0.4078212290502793
Mauritius,MUS,0.5251396648044693
Mexico,MEX,0.34636871508379885
Moldova,MDA,0.5279329608938548
Mongolia,MNG,0.44413407821229045
Montenegro,MNE,0.7262569832402235
Morocco,MAR,0.5335195530726257
Mozambique,MOZ,0.12290502793296089
Namibia,NAM,0.7122905027932961
Nepal,NPL,0.4972067039106145
Netherlands,NLD,0.9189944134078212
New Zealand,NZL,0.8659217877094971
Nicaragua,NIC,0.0335195530726257
Niger,NER,0.5558659217877095
Nigeria,NGA,0.25139664804469275
North Korea,PRK,0.08659217877094971
North Macedonia,MKD,0.3743016759776536
Norway,NOR,0.9441340782122905
Oman,OMN,0.553072625698324
Pakistan,PAK,0.12849162011173185
Palestine/Gaza,PSG,0.07262569832402235
Palestine/West Bank,PSE,0.4231843575418994
Panama,PAN,0.6675977653631285
Papua New Guinea,PNG,0.35195530726256985
Paraguay,PRY,0.3156424581005587
Peru,PER,0.4022346368715084
Philippines,PHL,0.2877094972067039
Poland,POL,0.8603351955307263
Portugal,PRT,0.8156424581005586
Qatar,QAT,0.5656424581005586
Republic of the Congo,COG,0.3240223463687151
Romania,ROU,0.6019553072625698
Russia,RUS,0.21787709497206703
Rwanda,RWA,0.5335195530726257
Sao Tome and Principe,STP,0.6787709497206704
Saudi Arabia,SAU,0.3016759776536313
Senegal,SEN,0.6005586592178771
Serbia,SRB,0.41201117318435754
Seychelles,SYC,0.9134078212290503
Sierra Leone,SLE,0.8687150837988826
Singapore,SGP,0.7932960893854748
Slovakia,SVK,0.6033519553072626
Slovenia,SVN,0.7932960893854749
Solomon Islands,SLB,0.48044692737430167
Somalia,SOM,0.3128491620111732
Somaliland,SML,0.388268156424581
South Africa,ZAF,0.8016759776536313
South Korea,KOR,0.8659217877094972
South Sudan,SSD,0.04888268156424581
Spain,ESP,0.8184357541899441
Sri Lanka,LKA,0.8156424581005586
Sudan,SDN,0.17039106145251395
Suriname,SUR,0.6340782122905029
Sweden,SWE,0.8994413407821229
Switzerland,CHE,0.9385474860335195
Syria,SYR,0.5418994413407822
Taiwan,TWN,0.9050279329608939
Tajikistan,TJK,0.030726256983240226
Tanzania,TZA,0.44692737430167595
Thailand,THA,0.25418994413407825
The Gambia,GMB,0.6815642458100559
Timor-Leste,TLS,0.6703910614525139
Togo,TGO,0.803072625698324
Trinidad and Tobago,TTO,0.7653631284916201
Tunisia,TUN,0.6787709497206704
Turkmenistan,TKM,0.10614525139664804
Türkiye,TUR,0.0670391061452514
Uganda,UGA,0.4217877094972067
Ukraine,UKR,0.5139664804469274
United Arab Emirates,ARE,0.5139664804469274
United Kingdom,GBR,0.7304469273743017
United States of America,USA,0.611731843575419
Uruguay,URY,0.8631284916201117
Uzbekistan,UZB,0.2709497206703911
Vanuatu,VUT,0.6270949720670391
Venezuela,VEN,0.02094972067039106
Vietnam,VNM,0.541899441340782
Yemen,YEM,0.03910614525139665
Zambia,ZMB,0.5223463687150838
Zanzibar,ZZB,0.4720670391061452
Zimbabwe,ZWE,0.2150837988826816
